111278,1,8,21,28,38
111279,6,10,16,19,30
111280,2,22,27,30,37
111281,4,17,27,33,37
111282,8,18,25,28,36
111283,11,18,20,24,26
111284,7,9,17,27,39
111285,8,11,14,25,29
111286,9,13,16,24,37
111287,14,16,24,26,30
111288,1,3,4,13,18
111289,11,13,21,28,29
111290,5,14,16,18,24
111291,12,13,16,18,25
111292,1,10,25,34,36
111293,16,19,21,22,23
111294,12,13,17,35,37
111295,8,10,18,29,39
111296,13,16,23,27,28
111297,1,9,12,27,28
111298,10,12,16,31,36
111299,1,6,14,18,24
111300,3,14,15,19,34
111301,3,10,11,12,24
111302,6,9,13,21,35
111303,6,9,13,25,29
111304,12,13,20,24,32
111305,3,7,9,18,33
111306,23,27,29,30,35
111307,1,3,4,31,34
111308,2,6,12,13,28
111309,8,20,31,35,38
111310,6,16,18,24,27
111311,1,8,18,25,38
111312,4,5,8,10,29
111313,1,10,15,20,26
112001,6,8,10,12,25
112002,12,14,25,30,34
112003,8,18,29,31,36
112004,17,26,29,36,39
112005,10,30,35,38,39
112006,3,6,8,23,30
112007,6,13,30,31,34
112008,2,8,18,22,29
112009,23,26,31,34,35
112010,3,14,26,29,37
112011,4,9,26,29,31
112012,4,8,12,23,29
112013,4,7,11,12,29
112014,4,6,26,28,39
112015,6,12,18,34,39
112016,1,3,12,28,34
112017,5,6,15,19,25
112018,8,12,14,28,35
112019,4,12,13,14,22
112020,6,8,16,19,31
112021,1,5,15,19,20
112022,6,10,12,33,36
112023,2,16,19,24,27
112024,9,18,29,32,38
112025,8,17,18,25,36
112026,2,3,6,23,38
112027,16,19,23,36,38
112028,11,12,27,30,38
112029,1,7,19,21,31
112030,13,15,18,22,24
112031,3,15,16,28,31
112032,1,13,25,26,27
112033,13,15,17,28,37
112034,22,32,35,38,39
112035,4,17,25,26,34
112036,7,27,30,31,39
112037,5,6,16,31,34
112038,9,12,16,28,37
112039,4,23,24,32,37
112040,5,17,25,35,39
112041,9,22,25,27,31
112042,8,12,18,20,32
112043,14,24,30,32,38
112044,2,17,25,29,37
112045,2,11,16,17,37
112046,7,11,13,17,27
112047,8,11,12,16,30
112048,4,6,27,38,39
112049,5,21,31,33,38
112050,6,8,23,27,33
112051,26,30,32,36,37
112052,1,4,9,24,37
